PATH,SOURCE,ROOT,STATIONS
p1,e1,e4,"s1,s2,s3"
p2,e1,e5,"s1,s2,s3"
p3,e1,e6,"s1,s2,s3,s4"
p4,e1,e7,"s1,s2,s3,s4"
p5,e1,e8,"s1,s2,s3,s4,s5,s6"
p6,e1,e9,"s1,s2,s3,s4,s5,s6,s7"
p7,e1,e10,"s1,s2,s3,s4,s5,s6,s7,s8"
p8,e1,e11,"s1,s2,s3,s4,s5,s6,s7,s8"
p9,e1,e12,"s1,s2,s3,s4,s5,s6,s7,s8,s9"
p10,e1,e13,"s1,s2,s3,s4,s5,s6,s7,s8,s9,s10,s11"
p11,e2,e5,s3
p12,e2,e6,"s3,s4"
p13,e2,e7,"s3,s4"
p14,e2,e8,"s3,s4,s5,s6"
p15,e2,e9,"s3,s4,s5,s6,s7"
p16,e2,e10,"s3,s4,s5,s6,s7,s8"
p17,e2,e11,"s3,s4,s5,s6,s7,s8"
p18,e2,e12,"s3,s4,s5,s6,s7,s8,s9"
p19,e2,e13,"s3,s4,s5,s6,s7,s8,s9,s10,s11"
p20,e3,e6,"s3,s4"
p21,e3,e7,"s3,s4"
p22,e3,e8,"s3,s4,s5,s6"
p23,e3,e9,"s3,s4,s5,s6,s7"
p24,e3,e10,"s3,s4,s5,s6,s7,s8"
p25,e3,e11,"s3,s4,s5,s6,s7,s8"
p26,e3,e12,"s3,s4,s5,s6,s7,s8,s9"
p27,e3,e13,"s3,s4,s5,s6,s7,s8,s9,s10,s11"
p28,e4,e1,"s3,s2,s1"
p29,e4,e7,s4
p30,e4,e8,"s4,s5,s6"
p31,e4,e9,"s4,s5,s6,s7"
p32,e4,e10,"s4,s5,s6,s7,s8"
p33,e4,e11,"s4,s5,s6,s7,s8"
p34,e4,e12,"s4,s5,s6,s7,s8,s9"
p35,e4,e13,"s4,s5,s6,s7,s8,s9,s10,s11"
p36,e5,e1,"s3,s2,s1"
p37,e5,e2,s3
p38,e5,e8,"s4,s5,s6"
p39,e5,e9,"s4,s5,s6,s7"
p40,e5,e10,"s4,s5,s6,s7,s8"
p41,e5,e11,"s4,s5,s6,s7,s8"
p42,e5,e12,"s4,s5,s6,s7,s8,s9"
p43,e5,e13,"s4,s5,s6,s7,s8,s9,s10,s11"
p44,e6,e1,"s4,s3,s2,s1"
p45,e6,e2,"s4,s3"
p46,e6,e3,"s4,s3"
p47,e6,e9,"s5,s6,s7"
p48,e6,e10,"s5,s6,s7,s8"
p49,e6,e11,"s5,s6,s7,s8"
p50,e6,e12,"s5,s6,s7,s8,s9"
p51,e6,e13,"s5,s6,s7,s8,s9,s10,s11"
p52,e7,e1,"s4,s3,s2,s1"
p53,e7,e2,"s4,s3"
p54,e7,e3,"s4,s3"
p55,e7,e4,s4
p56,e7,e9,"s5,s6,s7"
p57,e7,e10,"s5,s6,s7,s8"
p58,e7,e11,"s5,s6,s7,s8"
p59,e7,e12,"s5,s6,s7,s8,s9"
p60,e7,e13,"s5,s6,s7,s8,s9,s10,s11"
p61,e8,e1,"s6,s5,s4,s3,s2,s1"
p62,e8,e2,"s6,s5,s4,s3"
p63,e8,e3,"s6,s5,s4,s3"
p64,e8,e4,"s6,s5,s4"
p65,e8,e5,"s6,s5,s4"
p66,e8,e11,"s7,s8"
p67,e8,e12,"s7,s8,s9"
p68,e8,e13,"s7,s8,s9,s10,s11"
p69,e9,e1,"s7,s6,s5,s4,s3,s2,s1"
p70,e9,e2,"s7,s6,s5,s4,s3"
p71,e9,e3,"s7,s6,s5,s4,s3"
p72,e9,e4,"s7,s6,s5,s4"
p73,e9,e5,"s7,s6,s5,s4"
p74,e9,e6,"s7,s6,s5"
p75,e9,e7,"s7,s6,s5"
p76,e9,e12,"s8,s9"
p77,e9,e13,"s8,s9,s10,s11"
p78,e10,e1,"s8,s7,s6,s5,s4,s3,s2,s1"
p79,e10,e2,"s8,s7,s6,s5,s4,s3"
p80,e10,e3,"s8,s7,s6,s5,s4,s3"
p81,e10,e4,"s8,s7,s6,s5,s4"
p82,e10,e5,"s8,s7,s6,s5,s4"
p83,e10,e6,"s8,s7,s6,s5"
p84,e10,e7,"s8,s7,s6,s5"
p85,e10,e13,"s9,s10,s11"
p86,e11,e1,"s8,s7,s6,s5,s4,s3,s2,s1"
p87,e11,e2,"s8,s7,s6,s5,s4,s3"
p88,e11,e3,"s8,s7,s6,s5,s4,s3"
p89,e11,e4,"s8,s7,s6,s5,s4"
p90,e11,e5,"s8,s7,s6,s5,s4"
p91,e11,e6,"s8,s7,s6,s5"
p92,e11,e7,"s8,s7,s6,s5"
p93,e11,e8,"s8,s7"
p94,e11,e13,"s9,s10,s11"
p95,e12,e1,"s9,s8,s7,s6,s5,s4,s3,s2,s1"
p96,e12,e2,"s9,s8,s7,s6,s5,s4,s3"
p97,e12,e3,"s9,s8,s7,s6,s5,s4,s3"
p98,e12,e4,"s9,s8,s7,s6,s5,s4"
p99,e12,e5,"s9,s8,s7,s6,s5,s4"
p100,e12,e6,"s9,s8,s7,s6,s5"
p101,e12,e7,"s9,s8,s7,s6,s5"
p102,e12,e8,"s9,s8,s7"
p103,e12,e9,"s9,s8"
